season,date,home,away,gh,ga,match_id
2024-2025,2024-09-14,Bietigheim-Metterzimmern,Rhein-Neckar,25,33,06wRxIAj
2024-2025,2024-09-15,Gummersbach,Lemgo,27,29,lSJLbaX9
2024-2025,2024-09-15,Fuchse Berlin,Leipzig,37,32,nN18kefd
2024-2025,2024-09-15,HSG Wetzlar,Hannover-Burgdorf,25,36,dhNTdw2M
2024-2025,2024-09-15,Stuttgart,Flensburg-H.,25,39,E930iHPq
2024-2025,2024-09-15,Hamburg,SC Magdeburg,26,32,SCVC0L2c
2024-2025,2024-09-19,Lemgo,HSG Wetzlar,28,25,2VqeDbn3
2024-2025,2024-09-19,Eisenach,Bietigheim-Metterzimmern,32,35,Aem3BxHF
2024-2025,2024-09-20,Potsdam,Hamburg,30,31,tpNs4f9k
2024-2025,2024-09-20,Erlangen,Stuttgart,25,26,WAyC9GoS
2024-2025,2024-09-21,Rhein-Neckar,MT Melsungen,31,26,xCGj2Yw2
2024-2025,2024-09-21,Flensburg-H.,Goppingen,37,32,U53xQyW8
2024-2025,2024-09-22,SC Magdeburg,Kiel,24,29,xURQ3oF6
2024-2025,2024-09-22,Leipzig,Gummersbach,34,29,GEwI57pf
2024-2025,2024-09-22,Hannover-Burgdorf,Fuchse Berlin,38,35,O6LA7TFs
2024-2025,2024-09-25,Stuttgart,Gummersbach,28,35,pfVY1PqJ
2024-2025,2024-09-26,Kiel,MT Melsungen,21,25,dYbiK6am
2024-2025,2024-09-26,Leipzig,Rhein-Neckar,28,27,02DLPSyQ
2024-2025,2024-09-27,Eisenach,Flensburg-H.,25,30,O0I0GObC
2024-2025,2024-09-27,Goppingen,Hannover-Burgdorf,31,33,GzFhIpUa
2024-2025,2024-09-28,Hamburg,Lemgo,30,26,pG69E2TO
2024-2025,2024-09-29,Bietigheim-Metterzimmern,Gummersbach,30,32,zunJY5Et
2024-2025,2024-09-29,Fuchse Berlin,Erlangen,30,27,2iwzVND5
2024-2025,2024-09-29,Stuttgart,HSG Wetzlar,23,26,UwuSWqqg
2024-2025,2024-10-05,Kiel,Stuttgart,29,24,Ac01oqbn
2024-2025,2024-10-05,MT Melsungen,Bietigheim-Metterzimmern,26,24,rPD8qNSb
2024-2025,2024-10-05,Hannover-Burgdorf,Eisenach,28,26,6qziRuDU
2024-2025,2024-10-06,HSG Wetzlar,Fuchse Berlin,25,34,WlndzJko
2024-2025,2024-10-06,Gummersbach,Flensburg-H.,29,29,dSwrbMsh
2024-2025,2024-10-06,Erlangen,Potsdam,23,19,vi7Hs1cB
2024-2025,2024-10-06,Lemgo,Leipzig,33,28,C45PuuSN
2024-2025,2024-10-07,SC Magdeburg,Goppingen,31,24,tUl9AuPh
2024-2025,2024-10-07,Rhein-Neckar,Hamburg,30,27,IsSjd0C4
2024-2025,2024-10-10,Stuttgart,MT Melsungen,27,36,K8mXyWQk
2024-2025,2024-10-10,Bietigheim-Metterzimmern,Lemgo,23,28,Q7VbfvsH
2024-2025,2024-10-11,Eisenach,HSG Wetzlar,30,22,hMouzAe2
2024-2025,2024-10-11,Hamburg,Kiel,25,31,YXxIsME8
2024-2025,2024-10-12,Flensburg-H.,SC Magdeburg,27,29,tbtQu0qL
2024-2025,2024-10-12,Goppingen,Gummersbach,24,24,QVHdzv7r
2024-2025,2024-10-13,Potsdam,Hannover-Burgdorf,22,27,E5TCWe67
2024-2025,2024-10-13,Fuchse Berlin,Rhein-Neckar,34,27,YeL4YHye
2024-2025,2024-10-14,Leipzig,Erlangen,32,25,6aGbfabE
2024-2025,2024-10-17,Rhein-Neckar,Erlangen,38,33,Y90wmHjl
2024-2025,2024-10-17,HSG Wetzlar,Hamburg,31,26,2R97hwTQ
2024-2025,2024-10-18,Gummersbach,Eisenach,34,32,fPlnoeL0
2024-2025,2024-10-18,Goppingen,Bietigheim-Metterzimmern,30,25,ttmfqZkD
2024-2025,2024-10-19,MT Melsungen,Fuchse Berlin,33,31,dlVt7xrK
2024-2025,2024-10-19,Kiel,Potsdam,27,23,hKGC1G5s
2024-2025,2024-10-20,Lemgo,Stuttgart,28,24,Gb1xdCZI
2024-2025,2024-10-20,Hannover-Burgdorf,Flensburg-H.,31,30,lnALafzf
2024-2025,2024-10-20,SC Magdeburg,Leipzig,35,29,fqDTcY46
2024-2025,2024-10-24,Leipzig,MT Melsungen,27,28,r5gOJFRP
2024-2025,2024-10-24,Hamburg,Hannover-Burgdorf,32,32,2kzeEgkm
2024-2025,2024-10-25,Flensburg-H.,HSG Wetzlar,36,22,z3Y2CXJa
2024-2025,2024-10-25,Erlangen,Kiel,28,37,tG33ABlC
2024-2025,2024-10-26,Potsdam,Gummersbach,26,28,nFVzh3Yp
2024-2025,2024-10-27,Bietigheim-Metterzimmern,Fuchse Berlin,24,38,UZ4vCOPG
2024-2025,2024-10-27,Stuttgart,SC Magdeburg,25,36,SA8NF6Qi
2024-2025,2024-10-27,Lemgo,Rhein-Neckar,34,31,zyCVDpe4
2024-2025,2024-10-28,Eisenach,Goppingen,35,25,2m3nA2fT
2024-2025,2024-10-31,HSG Wetzlar,Bietigheim-Metterzimmern,21,26,lvx5SqAc
2024-2025,2024-10-31,Hannover-Burgdorf,Stuttgart,33,20,MXqJ4tIj
2024-2025,2024-11-01,Rhein-Neckar,Eisenach,32,36,dAOLO19M
2024-2025,2024-11-01,Goppingen,Potsdam,30,25,AgQDQNvA
2024-2025,2024-11-02,MT Melsungen,Erlangen,32,27,Gf5hJuXq
2024-2025,2024-11-03,Flensburg-H.,Leipzig,35,29,4GomuNg3
2024-2025,2024-11-03,Gummersbach,Hamburg,33,29,dO3fw1OF
2024-2025,2024-11-03,SC Magdeburg,Lemgo,30,27,Iwh3yugS
2024-2025,2024-11-03,Fuchse Berlin,Kiel,35,26,l830HJ1d
2024-2025,2024-11-16,MT Melsungen,SC Magdeburg,31,23,plxrUdo2
2024-2025,2024-11-16,Lemgo,Eisenach,31,28,dpuVkv8L
2024-2025,2024-11-16,Bietigheim-Metterzimmern,Hannover-Burgdorf,28,28,SSV0pIVr
2024-2025,2024-11-17,Potsdam,Rhein-Neckar,18,25,lrK9rd0e
2024-2025,2024-11-17,Leipzig,Goppingen,27,25,lMrZVIGk
2024-2025,2024-11-17,Kiel,Flensburg-H.,33,37,Am544wNE
2024-2025,2024-11-17,Erlangen,HSG Wetzlar,22,25,xrPTi0w9
2024-2025,2024-11-18,Hamburg,Fuchse Berlin,29,29,d8NHtzV7
2024-2025,2024-11-21,Bietigheim-Metterzimmern,Leipzig,28,29,6sD1tRzP
2024-2025,2024-11-22,Gummersbach,Kiel,24,30,jmfRdnL5
2024-2025,2024-11-22,Eisenach,MT Melsungen,32,31,nFmzeQkI
2024-2025,2024-11-23,Hannover-Burgdorf,SC Magdeburg,28,27,tzSynV6m
2024-2025,2024-11-23,Goppingen,Rhein-Neckar,30,36,x2Lpp9y0
2024-2025,2024-11-23,Flensburg-H.,Lemgo,36,27,M72A0ULt
2024-2025,2024-11-24,Hamburg,Erlangen,28,27,hCjrg4KU
2024-2025,2024-11-24,Fuchse Berlin,Stuttgart,33,29,pSOhrm6C
2024-2025,2024-11-25,HSG Wetzlar,Potsdam,26,18,IZeJb8jg
2024-2025,2024-11-28,Stuttgart,Hamburg,27,28,6urZ7Xp4
2024-2025,2024-11-28,Leipzig,Eisenach,31,36,bg3jcGWo
2024-2025,2024-11-29,MT Melsungen,Flensburg-H.,33,24,6J6bef1b
2024-2025,2024-11-29,Erlangen,Goppingen,28,24,zabFiC0N
2024-2025,2024-11-30,Kiel,HSG Wetzlar,35,24,fFgk4kpT
2024-2025,2024-12-01,SC Magdeburg,Bietigheim-Metterzimmern,35,26,2o07gYVA
2024-2025,2024-12-01,Potsdam,Fuchse Berlin,26,36,E5os6BFG
2024-2025,2024-12-01,Lemgo,Hannover-Burgdorf,22,31,IJ1vnjOp
2024-2025,2024-12-05,Stuttgart,Goppingen,30,26,lvpMNzsJ
2024-2025,2024-12-05,Erlangen,Bietigheim-Metterzimmern,25,25,IFyZY0kK
2024-2025,2024-12-06,Hannover-Burgdorf,Rhein-Neckar,35,30,jouLbT7j
2024-2025,2024-12-06,Flensburg-H.,Potsdam,39,22,KOyd0tqe
2024-2025,2024-12-07,HSG Wetzlar,MT Melsungen,27,29,GjV4bKD7
2024-2025,2024-12-08,Hamburg,Leipzig,33,32,YR1VEubl
2024-2025,2024-12-08,Gummersbach,Erlangen,28,24,8pIjMN5E
2024-2025,2024-12-08,Goppingen,Lemgo,29,22,6gN7MWac
2024-2025,2024-12-08,Fuchse Berlin,SC Magdeburg,31,31,EJQFKAU9
2024-2025,2024-12-08,Eisenach,Kiel,33,37,4CBaK1zR
2024-2025,2024-12-09,Bietigheim-Metterzimmern,Stuttgart,29,30,Y7wl22Er
2024-2025,2024-12-11,HSG Wetzlar,Leipzig,31,30,Kbh5RIsf
2024-2025,2024-12-11,SC Magdeburg,Gummersbach,37,28,27gnBccD
2024-2025,2024-12-11,MT Melsungen,Hamburg,35,28,fsjvDJS0
2024-2025,2024-12-11,Kiel,Hannover-Burgdorf,28,24,Y1IvtIdm
2024-2025,2024-12-11,Potsdam,Eisenach,26,31,Gpx8ovZP
2024-2025,2024-12-12,Rhein-Neckar,Flensburg-H.,31,29,SOeDPdC6
2024-2025,2024-12-12,Fuchse Berlin,Lemgo,33,21,EoN4TvDs
2024-2025,2024-12-14,Eisenach,Stuttgart,25,29,z7hdf8Hc
2024-2025,2024-12-14,Leipzig,Kiel,28,32,2sAexzdC
2024-2025,2024-12-14,Bietigheim-Metterzimmern,Hamburg,29,35,0xxMhetg
2024-2025,2024-12-15,Rhein-Neckar,SC Magdeburg,25,36,UHTxkDuI
2024-2025,2024-12-15,Hannover-Burgdorf,Erlangen,31,25,6FGnvdRa
2024-2025,2024-12-15,Goppingen,HSG Wetzlar,27,24,A7D3zEQO
2024-2025,2024-12-16,Gummersbach,MT Melsungen,24,29,OIoBW4Pj
2024-2025,2024-12-16,Flensburg-H.,Fuchse Berlin,38,37,d4VUjZA5
2024-2025,2024-12-22,Kiel,Bietigheim-Metterzimmern,38,29,Uk5SeLh2
2024-2025,2024-12-22,Hamburg,Flensburg-H.,32,32,ziCJcsOk
2024-2025,2024-12-22,HSG Wetzlar,Gummersbach,32,29,zTTW6o13
2024-2025,2024-12-22,Fuchse Berlin,Goppingen,35,23,dpPiqr9d
2024-2025,2024-12-22,Erlangen,Lemgo,19,28,OWQqo4vp
2024-2025,2024-12-23,MT Melsungen,Hannover-Burgdorf,31,23,dMt5hnnA
2024-2025,2024-12-23,Potsdam,Leipzig,26,35,48Lm330S
2024-2025,2024-12-23,Stuttgart,Rhein-Neckar,25,28,rgXv5PVF
2024-2025,2024-12-26,Rhein-Neckar,HSG Wetzlar,32,27,0C8gGAeE
2024-2025,2024-12-26,Lemgo,Kiel,22,23,A9Q1AK7e
2024-2025,2024-12-26,Gummersbach,Fuchse Berlin,22,29,hAmY8Sml
2024-2025,2024-12-26,Eisenach,Hamburg,32,31,b7jt76I0
2024-2025,2024-12-27,Stuttgart,Potsdam,29,24,YP61ElQQ
2024-2025,2024-12-27,Leipzig,Hannover-Burgdorf,30,32,MqhEJOp9
2024-2025,2024-12-27,Goppingen,MT Melsungen,25,29,IBoNH2FL
2024-2025,2024-12-27,Flensburg-H.,Bietigheim-Metterzimmern,39,27,ryv98bx8
2024-2025,2025-02-08,MT Melsungen,Goppingen,30,23,Yq3I6cOH
2024-2025,2025-02-08,Kiel,SC Magdeburg,31,25,h2FHyINi
2024-2025,2025-02-08,Gummersbach,Stuttgart,36,29,YcriLdwB
2024-2025,2025-02-09,Hamburg,Rhein-Neckar,30,30,QeNVDEVp
2024-2025,2025-02-09,Hannover-Burgdorf,Leipzig,24,23,EsmH8Jg5
2024-2025,2025-02-09,Erlangen,Flensburg-H.,26,32,tA6Q4ygU
2024-2025,2025-02-09,Bietigheim-Metterzimmern,HSG Wetzlar,27,28,hlzqNI8b
2024-2025,2025-02-09,Fuchse Berlin,Potsdam,36,19,pOWzPvvn
2024-2025,2025-02-10,Eisenach,Lemgo,34,31,6BtaJz8N
2024-2025,2025-02-13,Stuttgart,Hannover-Burgdorf,27,35,210ewVbd
2024-2025,2025-02-13,Rhein-Neckar,Bietigheim-Metterzimmern,36,30,6Z6nuiUq
2024-2025,2025-02-15,Flensburg-H.,Gummersbach,35,30,EyS7nZyA
2024-2025,2025-02-16,SC Magdeburg,MT Melsungen,29,28,d0esWDiT
2024-2025,2025-02-16,Lemgo,Fuchse Berlin,25,25,8vPale7c
2024-2025,2025-02-16,HSG Wetzlar,Kiel,27,25,ziGGpD6M
2024-2025,2025-02-16,Erlangen,Hamburg,29,35,hWtDQiFj
2024-2025,2025-02-17,Goppingen,Eisenach,31,27,0Y1YXZMG
2024-2025,2025-02-20,Kiel,Erlangen,28,24,lj25iLJ6
2024-2025,2025-02-20,Hamburg,Bietigheim-Metterzimmern,37,36,tQbcgskf
2024-2025,2025-02-21,Potsdam,Lemgo,21,22,pb5le3Ks
2024-2025,2025-02-21,Eisenach,Leipzig,34,34,lSJI0PdK
2024-2025,2025-02-22,MT Melsungen,Stuttgart,35,29,67pFt45l
2024-2025,2025-02-22,Gummersbach,Rhein-Neckar,36,25,zmxWxM4D
2024-2025,2025-02-22,Hannover-Burgdorf,HSG Wetzlar,34,32,fems1Yj3
2024-2025,2025-02-23,Goppingen,SC Magdeburg,25,28,08IsaCLF
2024-2025,2025-02-23,Fuchse Berlin,Flensburg-H.,36,31,SMYNvrz1
2024-2025,2025-02-26,Rhein-Neckar,Goppingen,29,28,0lf5MuJt
2024-2025,2025-02-27,Leipzig,Potsdam,32,19,EH3QZeh4
2024-2025,2025-02-27,Stuttgart,Lemgo,23,26,8EcDKJmg
2024-2025,2025-02-27,Hamburg,Gummersbach,30,37,4tiMIcI5
2024-2025,2025-02-27,HSG Wetzlar,Eisenach,30,31,dzUf2xYO
2024-2025,2025-02-28,Bietigheim-Metterzimmern,Kiel,24,39,80Iv6KYa
2024-2025,2025-03-01,Flensburg-H.,MT Melsungen,35,33,4SBm4b3C
2024-2025,2025-03-02,Erlangen,Hannover-Burgdorf,33,33,zmKW7t4m
2024-2025,2025-03-02,SC Magdeburg,Potsdam,25,15,G2w0D2tQ
2024-2025,2025-03-02,Leipzig,Fuchse Berlin,30,33,A5jEkalJ
2024-2025,2025-03-06,Lemgo,Erlangen,30,24,8zZmXdXb
2024-2025,2025-03-06,Potsdam,Stuttgart,28,25,bNMMIIZ2
2024-2025,2025-03-07,MT Melsungen,Leipzig,34,25,nLpuZI2n
2024-2025,2025-03-07,Gummersbach,Bietigheim-Metterzimmern,37,27,8YgUCSop
2024-2025,2025-03-08,Goppingen,Flensburg-H.,27,27,dd5VEFHU
2024-2025,2025-03-08,Eisenach,SC Magdeburg,26,36,tnhxB6Gd
2024-2025,2025-03-09,Kiel,Rhein-Neckar,29,24,6mQUGd4F
2024-2025,2025-03-09,Hannover-Burgdorf,Hamburg,33,32,xfkUGymI
2024-2025,2025-03-09,Fuchse Berlin,HSG Wetzlar,38,29,G0xdVz2B
2024-2025,2025-03-20,Rhein-Neckar,Hannover-Burgdorf,35,36,b5TjMite
2024-2025,2025-03-20,Hamburg,MT Melsungen,42,32,MwForZ2E
2024-2025,2025-03-21,SC Magdeburg,Fuchse Berlin,30,33,OnF89Edk
2024-2025,2025-03-22,Flensburg-H.,Kiel,36,33,8zkCTZmL
2024-2025,2025-03-22,Erlangen,Gummersbach,24,31,KE8H7hR1
2024-2025,2025-03-22,Bietigheim-Metterzimmern,Potsdam,30,28,C8e3VeJ8
2024-2025,2025-03-23,Stuttgart,Eisenach,31,30,6VWbKVA7
2024-2025,2025-03-23,Leipzig,Lemgo,26,35,S2EwFzZR
2024-2025,2025-03-23,HSG Wetzlar,Goppingen,30,26,xjurODBr
2024-2025,2025-03-27,Hannover-Burgdorf,Bietigheim-Metterzimmern,32,18,fiDgtDXQ
2024-2025,2025-03-27,Gummersbach,HSG Wetzlar,33,24,AwfamUvf
2024-2025,2025-03-28,Eisenach,Rhein-Neckar,30,35,65m8o896
2024-2025,2025-03-28,Goppingen,Leipzig,29,27,xCGIziel
2024-2025,2025-03-29,MT Melsungen,Kiel,27,22,pxKQYUP0
2024-2025,2025-03-29,Lemgo,Flensburg-H.,34,29,Yc0LfCnK
2024-2025,2025-03-29,Potsdam,Erlangen,23,26,EVjGqnvJ
2024-2025,2025-03-30,Fuchse Berlin,Hamburg,40,35,xQeikjAs
2024-2025,2025-04-03,Hamburg,Potsdam,28,23,Ma8QabUG
2024-2025,2025-04-04,HSG Wetzlar,Stuttgart,26,28,hKG93tVi
2024-2025,2025-04-05,Bietigheim-Metterzimmern,MT Melsungen,28,32,8drioaFN
2024-2025,2025-04-05,Kiel,Gummersbach,31,25,IR1ZcxaT
2024-2025,2025-04-05,Erlangen,Fuchse Berlin,31,31,zqpqmLpB
2024-2025,2025-04-05,Rhein-Neckar,Lemgo,33,26,EZ4I1Ka4
2024-2025,2025-04-06,Leipzig,SC Magdeburg,30,31,vHjzksGb
2024-2025,2025-04-06,Hannover-Burgdorf,Goppingen,30,36,h0hSj3on
2024-2025,2025-04-06,Flensburg-H.,Eisenach,39,39,StPNuwwo
2024-2025,2025-04-10,Lemgo,Potsdam,32,23,ELwEfHBt
2024-2025,2025-04-10,SC Magdeburg,Erlangen,30,19,lfxgCtwq
2024-2025,2025-04-16,Kiel,Fuchse Berlin,34,36,rPuOZ4Bm
2024-2025,2025-04-16,SC Magdeburg,Stuttgart,31,20,6i8ZW8fD
2024-2025,2025-04-17,Lemgo,Hamburg,41,29,vFkW6Fyp
2024-2025,2025-04-17,Leipzig,Flensburg-H.,31,33,Ecm5hGMj
2024-2025,2025-04-17,Eisenach,Erlangen,26,26,MZOZQzTF
2024-2025,2025-04-17,Potsdam,HSG Wetzlar,32,28,UaSsPEcS
2024-2025,2025-04-19,SC Magdeburg,Rhein-Neckar,30,27,8Wb0CyEM
2024-2025,2025-04-19,MT Melsungen,Gummersbach,26,25,nHAiEcqA
2024-2025,2025-04-19,Goppingen,Kiel,29,36,vi7qGJEc
2024-2025,2025-04-20,Fuchse Berlin,Hannover-Burgdorf,37,33,YDru5g6d
2024-2025,2025-04-24,Rhein-Neckar,Leipzig,35,34,zJIdJqR6
2024-2025,2025-04-25,Hannover-Burgdorf,Lemgo,30,29,EX3EJhLk
2024-2025,2025-04-25,Gummersbach,Potsdam,31,27,dY65HNeJ
2024-2025,2025-04-26,Erlangen,MT Melsungen,25,31,0l2MHWk2
2024-2025,2025-04-26,Flensburg-H.,Stuttgart,32,27,nq7tNRRs
2024-2025,2025-04-26,Bietigheim-Metterzimmern,Eisenach,26,34,Gdp9uzr9
2024-2025,2025-04-27,Hamburg,Goppingen,31,30,OvaiuRmQ
2024-2025,2025-04-27,HSG Wetzlar,SC Magdeburg,29,32,rB0kL5df
2024-2025,2025-05-01,Leipzig,HSG Wetzlar,30,18,GxvWXrt0
2024-2025,2025-05-01,Erlangen,Rhein-Neckar,34,25,GSrZjw5S
2024-2025,2025-05-02,Lemgo,Gummersbach,35,26,dCDeWjMh
2024-2025,2025-05-02,Eisenach,Hannover-Burgdorf,26,31,KjbLQnjU
2024-2025,2025-05-03,Potsdam,Flensburg-H.,26,34,AFwVpjyn
2024-2025,2025-05-04,Goppingen,Erlangen,25,24,zufXVMAC
2024-2025,2025-05-04,Fuchse Berlin,Bietigheim-Metterzimmern,42,30,jB64UUj5
2024-2025,2025-05-04,SC Magdeburg,Hamburg,37,28,lnAmYCit
2024-2025,2025-05-04,MT Melsungen,Rhein-Neckar,25,22,r5cuU0uP
2024-2025,2025-05-04,Stuttgart,Kiel,32,35,OO4CS8LH
2024-2025,2025-05-15,Hamburg,Stuttgart,41,28,pEL0yw4k
2024-2025,2025-05-15,HSG Wetzlar,Flensburg-H.,28,34,C22CcTKi
2024-2025,2025-05-15,Gummersbach,SC Magdeburg,31,32,vFgTgoKG
2024-2025,2025-05-15,Fuchse Berlin,Eisenach,34,26,0OYgun5N
2024-2025,2025-05-15,Erlangen,Leipzig,23,25,4duos8zB
2024-2025,2025-05-15,Kiel,Lemgo,35,29,ttF9ZGY1
2024-2025,2025-05-15,Rhein-Neckar,Potsdam,29,26,Ia5Ke7k4
2024-2025,2025-05-16,Hannover-Burgdorf,MT Melsungen,23,29,WURwqU5b
2024-2025,2025-05-16,Bietigheim-Metterzimmern,Goppingen,31,30,dfKPZPSp
2024-2025,2025-05-18,Eisenach,Gummersbach,30,34,plxA2F2l
2024-2025,2025-05-18,Stuttgart,Erlangen,27,30,Q3ew8yuR
2024-2025,2025-05-18,Potsdam,Kiel,22,25,hEuI0gX0
2024-2025,2025-05-18,Flensburg-H.,Rhein-Neckar,28,33,hjcV9cAE
2024-2025,2025-05-19,SC Magdeburg,Hannover-Burgdorf,34,28,pzcylGme
2024-2025,2025-05-19,MT Melsungen,HSG Wetzlar,33,27,OK8SkxJr
2024-2025,2025-05-19,Lemgo,Bietigheim-Metterzimmern,33,21,h00qnfI7
2024-2025,2025-05-19,Leipzig,Hamburg,25,29,YZ1ecKQ8
2024-2025,2025-05-19,Goppingen,Fuchse Berlin,28,43,hxIdebeL
2024-2025,2025-05-21,Rhein-Neckar,Gummersbach,32,34,pQgQ9gGi
2024-2025,2025-05-22,SC Magdeburg,Eisenach,33,32,4npDjQGM
2024-2025,2025-05-24,Stuttgart,Bietigheim-Metterzimmern,26,30,Q7VQSdb3
2024-2025,2025-05-25,Potsdam,SC Magdeburg,23,37,bJWrT1rI
2024-2025,2025-05-28,Erlangen,SC Magdeburg,23,34,KQGCMzfK
2024-2025,2025-05-28,Kiel,Leipzig,39,24,MgFZRVVa
2024-2025,2025-05-28,Hamburg,Eisenach,31,29,QRLQTi1m
2024-2025,2025-05-28,HSG Wetzlar,Lemgo,20,26,8jk0DWG6
2024-2025,2025-05-28,Hannover-Burgdorf,Potsdam,26,27,ETTQbX1D
2024-2025,2025-05-28,Gummersbach,Goppingen,41,25,fqVfZDwQ
2024-2025,2025-05-29,Rhein-Neckar,Stuttgart,26,33,Emh8BAoJ
2024-2025,2025-05-29,Fuchse Berlin,MT Melsungen,37,29,vBcqHEHs
2024-2025,2025-05-29,Bietigheim-Metterzimmern,Flensburg-H.,29,29,COeiFhnf
2024-2025,2025-05-31,Potsdam,Goppingen,21,25,0IDyrrMc
2024-2025,2025-05-31,Kiel,Hamburg,38,37,8rHqtMjA
2024-2025,2025-05-31,Gummersbach,Leipzig,32,31,pAVlKvUj
2024-2025,2025-06-01,Bietigheim-Metterzimmern,Erlangen,23,29,QaagV4xh
2024-2025,2025-06-01,HSG Wetzlar,Rhein-Neckar,30,30,fuiARMyH
2024-2025,2025-06-01,Lemgo,SC Magdeburg,29,31,bg7771po
2024-2025,2025-06-01,Flensburg-H.,Hannover-Burgdorf,34,32,nFm2Tr74
2024-2025,2025-06-01,Stuttgart,Fuchse Berlin,20,35,lvpJP06T
2024-2025,2025-06-01,MT Melsungen,Eisenach,26,25,f7DsQ90C
2024-2025,2025-06-04,SC Magdeburg,Flensburg-H.,35,27,OKQRhazG
2024-2025,2025-06-04,MT Melsungen,Lemgo,26,26,ShXIfL53
2024-2025,2025-06-04,Leipzig,Bietigheim-Metterzimmern,25,34,vXjOYwqp
2024-2025,2025-06-04,Hannover-Burgdorf,Kiel,29,29,Uc5hv0LM
2024-2025,2025-06-04,Eisenach,Potsdam,37,19,8QNDqec2
2024-2025,2025-06-05,Fuchse Berlin,Gummersbach,45,35,00K5oHSk
2024-2025,2025-06-05,Goppingen,Stuttgart,28,27,zapXWHDd
2024-2025,2025-06-05,Hamburg,HSG Wetzlar,33,29,Q1hbi7G8
2024-2025,2025-06-08,Bietigheim-Metterzimmern,SC Magdeburg,25,35,tzfVqP8r
2024-2025,2025-06-08,Flensburg-H.,Hamburg,40,37,l0cwr3we
2024-2025,2025-06-08,Stuttgart,Leipzig,29,28,Uge6oxpm
2024-2025,2025-06-08,Rhein-Neckar,Fuchse Berlin,33,38,xMwY3p0E
2024-2025,2025-06-08,Potsdam,MT Melsungen,26,31,bZnNsfqC
2024-2025,2025-06-08,Lemgo,Goppingen,29,29,bFj6kooL
2024-2025,2025-06-08,Kiel,Eisenach,36,35,6ajVuYDO
2024-2025,2025-06-08,HSG Wetzlar,Erlangen,21,25,AFonts87
2024-2025,2025-06-08,Gummersbach,Hannover-Burgdorf,39,29,27gEqGEa
